PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARYCATEGORY,CATEGORYSYSTEMTYPE,ID,PREVIOUSCATEGORYSYSTEMTYPE,PREVIOUSID,Validation_Errors
036d408k-16f35bdf9bfd06faa435d7118af29b2a,UPDATE,CATEGORY,TRUE,navteq-lcms,800-8600-0191,navteq,300-3000-0000,PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r3gx2-8da00f117286443c655c7468865d1b6e,UPDATE,CATEGORY,true ,navteq-lcms,300-3000-0025,navteq-lcms,300-3000-0000,PRIMARYCATEGORY: Must be 'TRUE' exactly
,UPDATE,CATEGORY,TRUE,navteq-lcms,700-7250-0136,navteq-lcms,300-3000-0000,"PLACEID: Invalid PLACEID (must be exactly 41 characters, no spaces, no nulls)"
036r3gqu-0aef16d529f94655b70ce23ec3235157,UPDATE,,TRUE,navteq-lcms,550-5520-0000,navteq-lcms,300-3000-0000,ATTRIBUTENAME: Must be 'CATEGORY' exactly
036r652x-7343d2e70bfdace7ee77ae96817dc389,UPDATE,CATEGORY,TRUE,navteq-lcms,Tourist Attraction,navteq-lcms,550-5520-0000,ID: Must be in format 700-7400-0140 (digits and hyphens only)
036r6525-cb96edb9beea4fecbcdb4fa464eb9ab6,UPDATE,CATEGORY,TRUE,navteq-lcms,,navteq-lcms,550-5520-0000,ID: Must be in format 700-7400-0140 (digits and hyphens only)
0368daac-3db07cab44407f4d84e03a0bfea0be1e,,,,,800-8000-0154,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r6521-35c686fde99c4761bc1ddf1578bb8f31,,,,,600-6300-0068,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r652j-5725a7bbc92ea912ccf1f02aa3b718db,,,,,800-8000-0158,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r3gx2-bd4863dae5aa48cc91b3914bf2a5c81f,,,,,700-7400-0292,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036e4286-f1b821da4cb4d5fa449006695062ed66,,,,,100-1000-0000,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
0361ae88-658172cef883730b42c86c4d5536b9ba,,,,,600-6800-0000,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036f519e-8a426681f9c41ec450ee18724ae8e296,,,,,100-1000-0000,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036d408k-57817d16f0cd00b188b35f7e7516a94b,,,,,600-6600-0080,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r3gx2-12a391acaa90c0c00560ea0750c5f75d,,,,,600-6800-0000,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r3grb-ac385c35129e411e9150170a99fe1f6a,,,,,600-6600-0077,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
036r3grv-7a135b3aabee8bc73eadb5ba93984ccf,,,,,700-7400-0141,,600-6100-0062,CHANGETYPE: Must be 'UPDATE' exactly; ATTRIBUTENAME: Must be 'CATEGORY' exactly; PRIMARYCATEGORY: Must be 'TRUE' exactly; CATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly; PREVIOUSCATEGORYSYSTEMTYPE: Must be 'navteq-lcms' exactly
