PLACEID,CHANGETYPE,ATTRIBUTENAME,LANGUAGECODE,FULLROADNAME,HOUSENUMBER,POSTALCODE,DISPLAY_GEO_POSITION_LATITUDE,DISPLAY_GEO_POSITION_LONGITUDE,ROUTING_GEO_POSITION_LATITUDE,ROUTING_GEO_POSITION_LONGITUDE
036r3gqq-68bd705db0415aba652bb6f365ad520a,UPDATE,LOCATION,en,,,,-34.04373816,151.1230273,-34.04384814,151.1228596
036r3grq-bfd3320f2a3046dba062fcde78380c68,UPDATE,LOCATION,en,,,,-33.87156249,151.095164,-33.87181414,151.0951855
0361r4ve-6f763117c80709588369f8643e59eef0,UPDATE,LOCATION,en,,,,-33.98970743,151.112723,-33.98956399,151.1128598
036r3gx8-f131100c839b421c869759c0ef016c3b,UPDATE,LOCATION,en,Pacific Hwy,6,2065,-33.82374641,151.1939813,-33.82358036,151.1938926
036jx7ps-fc5e27a05a270209234374425027c7be,UPDATE,LOCATION,en,Danks St,30,2017,-33.89812123,151.2153207,-33.8983227,151.2152455
036r3grx-363e6283c29b4e0c8d61967e9b3fa486,UPDATE,LOCATION,en,,,,-33.79520307,151.1439074,-33.7952889,151.1437532
036r3gxf-967bfab711b04de4b31dfd6923805977,UPDATE,LOCATION,en,,,,-33.75522986,151.2838113,-33.7552337,151.2836004
036r3grs-71e1e8d16fe2d243de7422cb8177d26e,UPDATE,LOCATION,en,Hope St,8,2142,-33.8213698,151.0211411,-33.82121495,151.0211239
036r3gx4-98a3c519733b4d70b1481979b397c791,UPDATE,LOCATION,en,,,,-33.88878272,151.2673951,-33.88897642,151.2674165
036aabd1-910800d53acc0f2cb1a12388d710d3cf,UPDATE,LOCATION,en,,,,-33.86999663,151.2059876,-33.8699877,151.2061258
036r3gx2-044cd5ea19d7d3e7030b3976945d6da1,UPDATE,LOCATION,en,,,,-33.84141867,151.2085524,-33.84112348,151.2085671
036r3gx2-c5e3b8badbc8ecac14bad8edc2967314,UPDATE,LOCATION,en,Loftus St,24,2000,-33.86384836,151.2106118,-33.86383726,151.210313
03660lbi-3ba65727d19506e6069e97511d44ae98,UPDATE,LOCATION,en,,,,-33.86901003,151.1953675,-33.86936771,151.1949234
036r3grn-0e53102fc3114ad7b5776d169683da4a,UPDATE,LOCATION,en,,,,-33.88732089,151.1014653,-33.88732094,151.1017348
036r3grp-0dfa5c895931ed5faa1666fb7d1aecb6,UPDATE,LOCATION,en,,,,,,,
036r3grs-5359b39d12784fc7a0255b081d340028,UPDATE,LOCATION,en,,,,-33.83189855,151.0113019,-33.8319899,151.0114091
036r3gx0-34e5148f0090305066b3bc467af6596a,UPDATE,LOCATION,en,Crown St,ABCD,2010,-33.88423042,151.2140679,-33.88438852,151.2141188
036r3gx2-b05353346509b69fbd21b061259d5bdd,UPDATE,LOCATION,en,,,,-33.86160621,151.2063768,-33.86183382,151.2062443
036r650h-91f197fbac38e75a45bfa9ee98966d12,UPDATE,LOCATION,en,High St,708,2750@,-33.74810098,150.6838285,-33.74815673,150.6836421
036jx7ps-0a74ff46a411026caa8c531a369b0973,UPDATE,LOCATION,en,,,,-33.80612308,150.9030217,-33.80588791,150.9030647
036r3gwb-f2105ce1fd367d356eb9a9bdc6666e83,UPDATE,,en,,,,-33.92902781,151.1887597,-33.92882976,151.188741
036r3gx2-3aff261be5c2835fea9a56cab35b566e,UPDATE,LOCATION,en,,,,-33.88160813,151.2028307,-33.88163459,151.2028626
036r3gxd-9a3d597983af4512b9b508e84d27ed22,UPDATE,LOCATION,en,,,,-33.79700368,151.2878005,-33.79719199,151.2879467
036r3gx9-044a4241e43bec859f4508633284a25b,UPDATE,LOCATION,en,,,,-33.82859648,151.229708,-33.82841487,151.2295899
036r3gpy-395e18792a3c46abb81e1ca1515f88df,UPDATE,LOCATION,en,,,,-33.78781591,150.7718417,-33.7880343,150.7719439
036r3grc-d51b7fc62bec47810edf0e5609ba7627,UPDATE,LOCATION,en,,,,-33.76929154,150.8977628,-33.76973073,150.8978589
036aabd1-b6198b2ff9f909b0e2833fb2a3184311,UPDATE,LOCATION,en,,,,-33.74520859,150.6758045,-33.74520311,150.675398
036r3grr-59820c7d44c140fd861220f53f9cb986,UPDATE,LOCATION,en,,,,-33.75590972,150.8503908,-33.85547366,151.1477625
036r3gx4-ac89183bc1d6841ae85ea28499612b22,UPDATE,LOCATION,en,,,,-33.88880638,151.2758161,-33.8886895,151.2759341
036r3gx2-2e0d5971cda59de161a95435a3d1e546,UPDATE,LOCATION,en,,,,-33.73181205,150.9654097,-33.73240662,150.9654058
036jx7ps-cd31d297d5640fff164f21f9892f4286,UPDATE,LOCATION,en,,,,-33.90717167,151.0266429,-33.90733865,151.0262969
