PLACEID,CHANGETYPE,ATTRIBUTENAME,LANGUAGECODE,FULLROADNAME,HOUSENUMBER,POSTALCODE,DISPLAY_GEO_POSITION_LATITUDE,DISPLAY_GEO_POSITION_LONGITUDE,ROUTING_GEO_POSITION_LATITUDE,ROUTING_GEO_POSITION_LONGITUDE,Error_Description
036r3grp-0dfa5c895931ed5faa1666fb7d1aecb6,UPDATE,LOCATION,en,,,,,,,,All essential fields are empty or null
036r650h-91f197fbac38e75a45bfa9ee98966d12,UPDATE,LOCATION,en,High St,708,2750@,-33.74810098,150.6838285,-33.74815673,150.6836421,Invalid POSTALCODE
036r650h-91f197fbac38e75a45bfa9ee98966d12,UPDATE,LOCATION,en,High St,708,2750@,-33.74810098,150.6838285,-33.74815673,150.6836421,Invalid POSTALCODE
036r3gwb-f2105ce1fd367d356eb9a9bdc6666e83,UPDATE,,en,,,,-33.92902781,151.1887597,-33.92882976,151.188741,Invalid ATTRIBUTENAME
036r3gwb-f2105ce1fd367d356eb9a9bdc6666e83,UPDATE,,en,,,,-33.92902781,151.1887597,-33.92882976,151.188741,Invalid ATTRIBUTENAME
036r3gx2-0d1682b56ec84714b02b463fd457ae1e                ,UPDATE,LOCATION,en,,,,-33.86421724,151.2126209,-33.86424617,151.2127549,Invalid PLACEID
036r3gx2-0d1682b56ec84714b02b463fd457ae1e                ,UPDATE,LOCATION,en,,,,-33.86421724,151.2126209,-33.86424617,151.2127549,Invalid PLACEID
036r3gxd-e660e540acb98ad5c671e1fd981d654b,UPDATE,LOCATION,en,A'Beckett Ave,5,2131,-33.83345004,151.2800567,-33.83366169,151.2802537,Invalid FULLROADNAME
036r3gxd-e660e540acb98ad5c671e1fd981d654b,UPDATE,LOCATION,en,A'Beckett Ave,5,2131,-33.83345004,151.2800567,-33.83366169,151.2802537,Invalid FULLROADNAME
036r3gx0-fe8e1efab74c4ff89591f27bb18ed2d2,UPDATE,LOCATION,en,"Balls Head Drive,",2,2060,-33.89248904,151.1863663,-33.89256029,151.1864213,Invalid FULLROADNAME
036r3gx0-fe8e1efab74c4ff89591f27bb18ed2d2,UPDATE,LOCATION,en,"Balls Head Drive,",2,2060,-33.89248904,151.1863663,-33.89256029,151.1864213,Invalid FULLROADNAME
0366012b-bb79091025b701ad7a781c1a8e58dd92,UPDATE,LOCATION,en,D'Aram Street ,8,2110,-33.93653876,151.0826528,-33.9365076,151.0827655,Invalid FULLROADNAME
0366012b-bb79091025b701ad7a781c1a8e58dd92,UPDATE,LOCATION,en,D'Aram Street ,8,2110,-33.93653876,151.0826528,-33.9365076,151.0827655,Invalid FULLROADNAME
036r3gx9-026cb25d983a494f9541c73fc5fb352d,UPDATE,LOCATION,en,O’Brien Street,47,2026,-33.82361828,151.2354525,-33.82367958,151.2357906,Invalid FULLROADNAME
036r3gx9-026cb25d983a494f9541c73fc5fb352d,UPDATE,LOCATION,en,O’Brien Street,47,2026,-33.82361828,151.2354525,-33.82367958,151.2357906,Invalid FULLROADNAME
036r3gwb-e5973787302bc5b87f1c622aa99f46d3,UPDATE,LOCATION,en, Pitt St,169,2000,-33.93397074,151.1837579,-33.9339295,151.1834387,Invalid FULLROADNAME
036r3gwb-e5973787302bc5b87f1c622aa99f46d3,UPDATE,LOCATION,en, Pitt St,169,2000,-33.93397074,151.1837579,-33.9339295,151.1834387,Invalid FULLROADNAME
036r652q-0d11b51b2d584ab89163b3c0259c0013,UPDATE,LOCATION,en,Great Western Hwy ,524,2760,-33.67667093,151.0983617,-33.67662965,151.097986,Invalid FULLROADNAME
036r652q-0d11b51b2d584ab89163b3c0259c0013,UPDATE,LOCATION,en,Great Western Hwy ,524,2760,-33.67667093,151.0983617,-33.67662965,151.097986,Invalid FULLROADNAME
