PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036r3gqq-68bd705db0415aba652bb6f365ad520a,UPDATE,NAME,TRUE,en,OFFICIAL,Caringbah Hotel,OFFICIAL,en,Nightcap at Caringbah Hotel
036jx7ps-fc5e27a05a270209234374425027c7be,UPDATE,NAME,TRUE,en,OFFICIAL,Meriton Suites Waterloo,OFFICIAL,en,Cameo Apartments Meriton Waterloo
03660lbi-3ba65727d19506e6069e97511d44ae98,UPDATE,NAME,TRUE,en,OFFICIAL,The Star Sydney,OFFICIAL,en,The Star
036r3grn-0e53102fc3114ad7b5776d169683da4a,UPDATE,NAME,TRUE,en,OFFICIAL,Nelson Meers Hotel Group,OFFICIAL,en,Nelson Meers Liquor Hospitality Group
036r3gx0-34e5148f0090305066b3bc467af6596a,UPDATE,NAME,TRUE,en,OFFICIAL,Adina Apartment Hotel,OFFICIAL,en,Adina Apartment Hotel Sydney Surry Hi
036r3grr-59820c7d44c140fd861220f53f9cb986,UPDATE,NAME,TRUE,en,OFFICIAL,Drummoyne Furnished Apartments,OFFICIAL,en,Drummoyne Serviced Apartments
036r3gx4-ac89183bc1d6841ae85ea28499612b22,UPDATE,NAME,TRUE,en,OFFICIAL,MISS BAKER’S BONDI,OFFICIAL,en,Miss Baker's Boutique Accomodation
,UPDATE,NAME,TRUE,en,OFFICIAL,We Rock the Spectrum,OFFICIAL,en,We Rock the Spectrum - Sydney West
036r652n-6060c3a60d2f918a6ba6f3028f69e059,UPDATE,NAME,TRUE,en,OFFICIAL,Wahroonga Park,OFFICIAL,en,Wahroonga Park - Coonanbarra Road
036r3gqm-75b6ac1a9d882e7f664fa83537ce12d6,UPDATE,NAME,TRUE,en,OFFICIAL,Climb Fit,OFFICIAL,en,Climb Fit Kirrawee
036r3gqz-832e65727131f0e99fdf4e48396a8184,UPDATE,NAME,TRUE,en,OFFICIAL,Luxride chauffeur,OFFICIAL,en,Luxride Chauffeur Sydney
036r3grd-2b1b62296f4d424b8111bed932fd376c,UPDATE,NAME,TRUE,en,OFFICIAL,Croc's Playcentre,OFFICIAL,en,Crocs Playcentre Prospect
036r3gx2-32cf10f881cd4d96813cccab58b7d762,UPDATE,name,TRUE,en,OFFICIAL,Myer,OFFICIAL,en,Myer Sydney-Beauty Services
036r6584-780869a4e5bf41f89fbf2b32c3631b42,UPDATE,NAME,TRUE,en,OFFICIAL,Evolve Tennis Academy,OFFICIAL,en,Evolve Tennis
036r3gqu-0aef16d529f94655b70ce23ec3235157,UPDATE,NAME,TRUE,en,OFFICIAL,Flip Out,OFFICIAL,en,Flip Out Revesby
036r3gx2-1e18aaf2687041539725ca5d41966965,UPDATE,NAME,TRUE,en,OFFICIAL,The Tank Stream,OFFICIAL,en,Tank Stream Plaque
036a9437-1d7980c5821d734d047eee95a5dbc4aa,UPDATE,NAME,TRUE,en,OFFICIAL,Bar Lulu,OFFICIAL,en,Lu Lu
