PLACEID,CHANGETYPE,ATTRIBUTENAME,PLACESTATUS
036r3gry-502063f1d0f5a515ffde5687749719b8,UPDATE,STATUS,INACTIVE
036r3gx0-aa65f5344c2542a0ab093098cc4ebb60,UPDATE,STATUS,INACTIVE
036r3grx-bc69027d316aed96596a1e00829db313,UPDATE,STATUS,INACTIVE
036r3gx2-e495521337c44b5194518f6a1f6b26f5,UPDATE,STATUS,inactive
036r652z-3be8a2a3b37b3dce698cdb64f57b6fba,UPDATE,STATUS,INACTIVE
0368lxx5-dbaa40000dbe04dc133c346641dea626,UPDATE,STATUS,INACTIVE
036r3gx0-2ba2582ab41e47b6609fb7254a82a711,UPDATE,STATUS,INACTIVE
036r6525-ebf8de0159c3c3083cf151159fae96b1,,STATUS,INACTIVE
036eb4d1-245c364a6c0667cf1253d917bb52d921,UPDATE,STATUS,INACTIVE
036r3gqz-8e414b9579237314d17f178bba3acfd5,UPDATE,STATUS,INACTIVE
036r3gqz-1baeb5632e1a450cfcf6bc0955d06a92,UPDATE,STATUS,INACTIVE
036r3gx2-ae6f3191fc9ded04d574c5909dce7c87,UPDATE,STATUS,INACTIVE
036r3grp-fdf88bce5d9634f2ee332547da91d12d,UPDATE,STATUS,INACTIVE
036r3gx0-5eca0c1929f23b82e6543825399eac52,UPDATE,STATUS,INACTIVE
,UPDATE,STATUS,INACTIVE
036r3gqg-0f1f4ca51a5dc485da190f1026ad9a7f,UPDATE,STATUS,INACTIVE
036r3gx0-e35b0cea09d1565587af0142113d254f,UPDATE,STATUS,INACTIVE
036r3gx0-5a6270d5bf527a5a8182cfbd36d42c58,UPDATE,STATUS,INACTIVE
036r3grf-dabeedf4261ea4957883e5ec645d12cb,UPDATE,STATUS,INACTIVE
036r3gqm-edf0f5e052fcc1d4dd03cd3963f9c2ca,UPDATE,STATUS,INACTIVE
036r3gxd-59f4661c85ae9e68ca91932d9ba42c69,UPDATE,STATUS,INACTIVE
036r3gx2-61133d9c573fc15cf50a041baacd7277,UPDATE,STATUS,INACTIVE
036r3gqk-d45e19a1dc69377701510ea9c48a8a5e                ,UPDATE,STATUS,INACTIVE
036r3gpx-9152563b1f5e9c409a273a9b90ff81ec,UPDATE,STATUS,INACTIVE
036r3gxc-8e6fb31f18864f07a025db4297b830ed,UPDATE,STATUS,INACTIVE
036r6521-b2ea42be728f6bc0803ec390be3f1165,UPDATE,STATUS,INACTIVE
036r6586-8e7b3b196d2bdf2913032d56b0dc0965,UPDATE,STATUS,INACTIVE
036r3gx2-4fbb570cf64864b2843628038454678b,UPDATE,STATUS,INACTIVE
036r3gx2-84f79f528651fb582d7faeef40f52121,UPDATE,STATUS,INACTIVE
036r3grr-79a0c3977e1265abf297f3505150913c,UPDATE,STATUS,INACTIVE
036aabd1-9f1b5f640124096d30fb5bb1390c8da5,UPDATE,STATUS,INACTIVE
036r3grh-452d6ffb6469991e56a97fe274e7d3b1,UPDATE,STATUS,INACTIVE
036r3gqh-264a9c4022046a40d3e48fb72cd8b19e,UPDATE,STATUS,INACTIVE
036r3grn-e06b391c9b27da37f1bfd8d74268918c,UPDATE,STATUS,INACTIVE
036r3gxf-b584049d8cabacf924712c636f14b7f1,UPDATE,status,INACTIVE
036r3gr3-a3f9b89034b3b0177e97209c07870aea,UPDATE,STATUS,INACTIVE
